FECHA,CAMPO_OFICIAL,CAMPO_SIH,UBICACION,CUENCA,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
1/1/2010,Artesa,ARTESA,Terrestre,Cuencas del Sureste,1P,228.147152,229.187865,0.975538,0.76847,0.999011,0.005948,0.079761,0.631179
1/1/2010,Artesa,ARTESA,Terrestre,Cuencas del Sureste,2P,228.147152,229.187865,0.975538,0.76847,0.999011,0.005948,0.079761,0.631179
1/1/2010,Artesa,ARTESA,Terrestre,Cuencas del Sureste,3P,228.147152,229.187865,0.975538,0.76847,0.999011,0.005948,0.079761,0.631179
1/1/2010,Artimón,ARTIMON,Terrestre,Burgos,1P,0,9.434661,1.021581,0,4.695769,0.039444,0.12489,4.458484
1/1/2010,Artimón,ARTIMON,Terrestre,Burgos,2P,0,24.530119,2.679451,0,12.316286,0.103455,0.327567,11.693923
1/1/2010,Artimón,ARTIMON,Terrestre,Burgos,3P,0,37.738644,4.12592,0,18.965081,0.159304,0.5044,18.006743
1/1/2010,Atajo,ATAJO,Terrestre,Burgos,1P,0,0,0,0,0,0,0,0
1/1/2010,Atajo,ATAJO,Terrestre,Burgos,2P,0,0,0,0,0,0,0,0
1/1/2010,Atajo,ATAJO,Terrestre,Burgos,3P,0,2.347013,0.430295,0,1.977882,0.016614,0.052604,1.877937
1/1/2010,Atlapexco,ATLAPEXCO,Terrestre,Tampico-Misantla,1P,0.149754,0.048515,0,0,0,0,0,0
1/1/2010,Atlapexco,ATLAPEXCO,Terrestre,Tampico-Misantla,2P,0.149754,0.048515,0,0,0,0,0,0
1/1/2010,Atlapexco,ATLAPEXCO,Terrestre,Tampico-Misantla,3P,0.149754,0.048515,0,0,0,0,0,0
