AÑO,CAMPO_SIH,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
2010,CACAHUATENGO PR,3P,1.917223,1.072485
2010,CACALILAO,1P,3216.48356,9746.032887
2010,CACALILAO,2P,3216.48356,9746.032887
2010,CACALILAO,3P,3216.48356,9746.032887
2010,CACHAS,1P,0.0,0.720657
2010,CACHAS,2P,0.0,0.720657
2010,CACHAS,3P,0.0,0.720657
2010,CACHO LOPEZ,1P,8.323588,49.86461
2010,CACHO LOPEZ,2P,9.288119,51.40801
2010,CACHO LOPEZ,3P,9.288119,51.40801
2010,CACTUS,1P,2068.580303,4604.457169
2010,CACTUS,2P,2068.580303,4604.457169
2010,CACTUS,3P,2068.580303,4604.457169
2010,CADENA,1P,0.0,2.036669
2010,CADENA,2P,0.0,2.036669
2010,CADENA,3P,0.0,2.036669
2010,CAFETO,1P,12.200653,35.863412
2010,CAFETO,2P,47.530156,83.156957
2010,CAFETO,3P,47.530156,83.156957
2010,CALABAZA,1P,0.0,47.69219
2010,CALABAZA,2P,0.0,79.697346
2010,CALABAZA,3P,0.0,94.162274
2010,CALI,1P,0.0,40.088791
2010,CALI,2P,0.0,102.961075
2010,CALI,3P,0.0,195.909022
2010,CALIBRADOR,1P,0.0,18.50461
2010,CALIBRADOR,2P,0.0,30.841017
2010,CALIBRADOR,3P,0.0,62.041142
2010,CAMAITLAN,1P,0.249568,0.080851
2010,CAMAITLAN,2P,0.249568,0.080851
2010,CAMAITLAN,3P,0.249568,0.080851
2010,CAMARGO,1P,0.0,9.829713
2010,CAMARGO,2P,0.0,9.829713
2010,CAMARGO,3P,0.0,14.103501
2010,CANDELARIA,1P,0.399345,0.129372
2010,CANDELARIA,2P,0.399345,0.129372
2010,CANDELARIA,3P,0.399345,0.129372
2010,CANDELILLA NORALTA,1P,0.0,0.0
2010,CANDELILLA NORALTA,2P,0.0,0.0
2010,CANDELILLA NORALTA,3P,0.0,17.432915
2010,CANGREJO,1P,0.250826,0.29574
2010,CANGREJO,2P,0.250826,0.29574
2010,CANGREJO,3P,0.250826,0.29574
2010,CANON,1P,0.833854,224.405697
2010,CANON,2P,0.833854,280.469668
2010,CANON,3P,0.833854,356.373786
2010,CANON ORIENTAL,1P,0.0,1.375754
2010,CANON ORIENTAL,2P,0.0,1.375754
2010,CANON ORIENTAL,3P,0.0,1.375754
2010,CANTEMOC,1P,0.0,46.725155
2010,CANTEMOC,2P,0.0,62.968853
2010,CANTEMOC,3P,0.0,62.968853
2010,CAPARROSO PIJIJE ESCUINTLE,1P,683.428385,1682.759914
2010,CAPARROSO PIJIJE ESCUINTLE,2P,896.279224,2151.863164
2010,CAPARROSO PIJIJE ESCUINTLE,3P,896.279224,2151.863164
2010,CAPITAN,1P,0.0,0.611281
2010,CAPITAN,2P,0.0,0.611281
2010,CAPITAN,3P,0.0,0.611281
2010,CARACOLILLO,1P,31.267352,34.380329
2010,CARACOLILLO,2P,31.267352,34.380329
