CAMPO_SIH,CATEGORIA,AÑO,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
AGAVE,2P,2020,254.531655,2298.954333
AGAVE,2P,2021,254.529304,2298.933067
AGAVE,2P,2022,254.529298,2298.933046
AGAVE,2P,2023,254.549767,2299.125007
AGAVE,2P,2024,254.549767,2299.125007
AGAVE,3P,2010,258.025212,2301.816201
AGAVE,3P,2011,258.025212,2301.816201
AGAVE,3P,2012,258.025212,2301.816201
AGAVE,3P,2013,258.025212,2301.816201
AGAVE,3P,2014,258.025212,2301.816201
AGAVE,3P,2015,258.025212,2301.816201
AGAVE,3P,2016,254.531655,2298.954333
AGAVE,3P,2017,254.531655,2298.954333
AGAVE,3P,2018,254.531652,2298.954328
AGAVE,3P,2019,254.531655,2298.954333
AGAVE,3P,2020,254.531655,2298.954333
AGAVE,3P,2021,254.529304,2298.933067
AGAVE,3P,2022,254.529298,2298.933046
AGAVE,3P,2023,254.549767,2299.125007
AGAVE,3P,2024,254.549767,2299.125007
AGUA BLANCA,1P,2010,0.0,0.003598
AGUA BLANCA,1P,2011,0.0,0.003598
AGUA BLANCA,1P,2012,0.0,0.003598
AGUA BLANCA,1P,2013,0.0,0.003598
AGUA BLANCA,1P,2014,0.0,0.003598
AGUA BLANCA,1P,2015,0.0,0.003598
AGUA BLANCA,1P,2016,0.0,0.003598
AGUA BLANCA,1P,2017,0.0,0.003598
AGUA BLANCA,1P,2018,0.0,0.003598
AGUA BLANCA,1P,2019,0.0,0.0
AGUA BLANCA,1P,2020,0.0,0.0
AGUA BLANCA,2P,2010,0.0,0.003598
AGUA BLANCA,2P,2011,0.0,0.003598
AGUA BLANCA,2P,2012,0.0,0.003598
AGUA BLANCA,2P,2013,0.0,0.003598
AGUA BLANCA,2P,2014,0.0,0.003598
AGUA BLANCA,2P,2015,0.0,0.003598
AGUA BLANCA,2P,2016,0.0,0.003598
AGUA BLANCA,2P,2017,0.0,0.003598
AGUA BLANCA,2P,2018,0.0,0.003598
AGUA BLANCA,2P,2019,0.0,0.0
AGUA BLANCA,2P,2020,0.0,0.0
AGUA BLANCA,3P,2010,0.0,0.003598
AGUA BLANCA,3P,2011,0.0,0.003598
AGUA BLANCA,3P,2012,0.0,0.003598
AGUA BLANCA,3P,2013,0.0,0.003598
AGUA BLANCA,3P,2014,0.0,0.003598
AGUA BLANCA,3P,2015,0.0,0.003598
AGUA BLANCA,3P,2016,0.0,0.003598
AGUA BLANCA,3P,2017,0.0,0.003598
AGUA BLANCA,3P,2018,0.0,0.003598
AGUA BLANCA,3P,2019,0.0,0.0
AGUA BLANCA,3P,2020,0.0,0.0
AGUA FRIA,1P,2010,2565.844277,769.753283
AGUA FRIA,1P,2011,2592.524789,1296.262395
AGUA FRIA,1P,2012,973.408093,486.704046
AGUA FRIA,1P,2013,842.502341,456.720519
AGUA FRIA,1P,2014,871.225839,472.291527
AGUA FRIA,1P,2015,871.225839,472.291527
AGUA FRIA,1P,2016,879.656002,476.860573
AGUA FRIA,1P,2017,885.872992,480.230797
AGUA FRIA,1P,2018,885.87299,480.2308
AGUA FRIA,1P,2019,885.872992,480.230797
AGUA FRIA,1P,2020,885.872992,480.230797
AGUA FRIA,1P,2021,885.864789,480.22635
AGUA FRIA,1P,2022,885.90802,480.249786
AGUA FRIA,1P,2023,885.90802,480.249786
AGUA FRIA,1P,2024,0.0,0.0
AGUA FRIA,2P,2010,5099.308802,1529.79264
AGUA FRIA,2P,2011,5096.978666,2548.489334
AGUA FRIA,2P,2012,1491.004755,745.502377
AGUA FRIA,2P,2013,1449.048519,785.529202
AGUA FRIA,2P,2014,1452.841164,787.585195
AGUA FRIA,2P,2015,1452.841164,787.585195
AGUA FRIA,2P,2016,1409.416885,764.043378
AGUA FRIA,2P,2017,1420.766193,770.195827
AGUA FRIA,2P,2018,1420.7662,770.19583
AGUA FRIA,2P,2019,1420.766193,770.195827
AGUA FRIA,2P,2020,1420.766193,770.195827
AGUA FRIA,2P,2021,1420.753038,770.188695
AGUA FRIA,2P,2022,1420.822371,770.226281
AGUA FRIA,2P,2023,1420.822371,770.226281
AGUA FRIA,2P,2024,0.0,0.0
AGUA FRIA,3P,2010,5373.876513,1612.162953
AGUA FRIA,3P,2011,5373.876513,2686.938257
AGUA FRIA,3P,2012,1538.753816,769.376907
AGUA FRIA,3P,2013,1538.803537,834.185397
AGUA FRIA,3P,2014,1538.803537,834.185397
AGUA FRIA,3P,2015,1538.803537,834.185397
AGUA FRIA,3P,2016,1538.695403,834.125124
AGUA FRIA,3P,2017,1538.695403,834.125125
AGUA FRIA,3P,2018,1538.6954,834.12512
AGUA FRIA,3P,2019,1538.695403,834.125125
AGUA FRIA,3P,2020,1538.695403,834.125125
AGUA FRIA,3P,2021,1538.681156,834.117401
AGUA FRIA,3P,2022,1538.756243,834.158107
AGUA FRIA,3P,2023,1538.756243,834.158107
AGUA FRIA,3P,2024,0.0,0.0
AGUA NACIDA,1P,2010,47.351543,23.675772
AGUA NACIDA,1P,2011,82.851355,41.425677
AGUA NACIDA,1P,2012,248.109731,124.054865
AGUA NACIDA,1P,2013,274.548127,154.158773
AGUA NACIDA,1P,2014,235.852557,132.431211
AGUA NACIDA,1P,2015,235.852557,132.431211
AGUA NACIDA,1P,2016,235.852519,132.430927
AGUA NACIDA,1P,2017,235.852519,132.430927
AGUA NACIDA,1P,2018,235.85252,132.43093
AGUA NACIDA,1P,2019,455.979922,256.032218
AGUA NACIDA,1P,2020,220.127402,123.601291
AGUA NACIDA,1P,2021,258.617295,129.898697
AGUA NACIDA,1P,2022,258.625999,129.903584
AGUA NACIDA,1P,2023,258.625999,129.903584
AGUA NACIDA,1P,2024,0.0,0.0
AGUA NACIDA,2P,2010,1713.107396,856.553698
AGUA NACIDA,2P,2011,2091.491038,1045.745519
AGUA NACIDA,2P,2012,1422.982214,711.491106
AGUA NACIDA,2P,2013,1428.62241,802.171483
AGUA NACIDA,2P,2014,1431.357004,803.706958
AGUA NACIDA,2P,2015,1414.517563,794.251612
AGUA NACIDA,2P,2016,1337.536988,751.02553
AGUA NACIDA,2P,2017,1337.536988,751.02553
AGUA NACIDA,2P,2018,1337.537,751.02553
AGUA NACIDA,2P,2019,2585.824473,1451.937563
AGUA NACIDA,2P,2020,1248.287484,700.912033
AGUA NACIDA,2P,2021,1286.777377,707.209439
AGUA NACIDA,2P,2022,1286.826735,707.237153
AGUA NACIDA,2P,2023,1286.826735,707.237153
AGUA NACIDA,2P,2024,0.0,0.0
AGUA NACIDA,3P,2010,2786.294179,1393.147089
AGUA NACIDA,3P,2011,2786.294179,1393.147089
AGUA NACIDA,3P,2012,1705.585295,852.792647
AGUA NACIDA,3P,2013,1705.600224,957.694526
AGUA NACIDA,3P,2014,1705.600225,957.694527
AGUA NACIDA,3P,2015,1705.600225,957.694527
AGUA NACIDA,3P,2016,1590.129405,892.855891
AGUA NACIDA,3P,2017,1590.129405,892.855891
AGUA NACIDA,3P,2018,1590.1294,892.85589
AGUA NACIDA,3P,2019,3074.257475,1726.19215
AGUA NACIDA,3P,2020,1484.128069,833.336259
AGUA NACIDA,3P,2021,1522.617962,839.633665
AGUA NACIDA,3P,2022,1522.676645,839.666615
AGUA NACIDA,3P,2023,1522.676645,839.666615
AGUA NACIDA,3P,2024,0.0,0.0
AGUACATE,1P,2010,30.862409,11.609729
AGUACATE,1P,2011,30.862409,11.609729
AGUACATE,1P,2012,30.862409,11.609729
AGUACATE,1P,2013,30.862409,11.610438
AGUACATE,1P,2014,30.862409,11.610438
AGUACATE,1P,2015,30.862409,11.610438
AGUACATE,1P,2016,30.862409,11.610415
AGUACATE,1P,2017,30.862409,11.610415
AGUACATE,1P,2018,32.154368,11.799014
AGUACATE,1P,2019,32.154368,11.799014
AGUACATE,1P,2020,32.154368,11.799014
AGUACATE,1P,2021,32.15407,11.798905
AGUACATE,1P,2022,32.15564,11.799481
AGUACATE,1P,2023,32.15564,11.799481
AGUACATE,1P,2024,32.15564,11.799481
AGUACATE,2P,2010,30.862409,11.609729
AGUACATE,2P,2011,30.862409,11.609729
AGUACATE,2P,2012,30.862409,11.609729
AGUACATE,2P,2013,30.862409,11.610438
AGUACATE,2P,2014,30.862409,11.610438
AGUACATE,2P,2015,30.862409,11.610438
AGUACATE,2P,2016,30.862409,11.610415
AGUACATE,2P,2017,30.862409,11.610415
AGUACATE,2P,2018,36.393608,12.417855
AGUACATE,2P,2019,36.393608,12.417855
AGUACATE,2P,2020,36.393608,12.417855
AGUACATE,2P,2021,36.393271,12.41774
AGUACATE,2P,2022,36.395048,12.418346
AGUACATE,2P,2023,36.395048,12.418346
AGUACATE,2P,2024,36.395048,12.418346
AGUACATE,3P,2010,30.862409,11.609729
AGUACATE,3P,2011,30.862409,11.609729
AGUACATE,3P,2012,30.862409,11.609729
AGUACATE,3P,2013,30.862409,11.610438
AGUACATE,3P,2014,30.862409,11.610438
AGUACATE,3P,2015,30.862409,11.610438
AGUACATE,3P,2016,30.862409,11.610415
AGUACATE,3P,2017,30.862409,11.610415
AGUACATE,3P,2018,53.79468,14.958049
AGUACATE,3P,2019,53.79468,14.958048
AGUACATE,3P,2020,53.79468,14.958048
AGUACATE,3P,2021,53.794182,14.95791
AGUACATE,3P,2022,53.796808,14.95864
AGUACATE,3P,2023,53.796808,14.95864
AGUACATE,3P,2024,53.796808,14.95864
AHUATEPEC,1P,2010,65.05738,19.517214
AHUATEPEC,1P,2011,43.83568,13.150704
AHUATEPEC,1P,2012,103.25145,30.975435
AHUATEPEC,1P,2013,105.605623,52.496555
AHUATEPEC,1P,2014,86.926062,43.210945
AHUATEPEC,1P,2015,92.897386,46.17929
AHUATEPEC,1P,2016,92.897399,46.179205
AHUATEPEC,1P,2017,80.780347,40.155831
AHUATEPEC,1P,2018,82.799856,41.159727
AHUATEPEC,1P,2019,82.799856,41.159727
AHUATEPEC,1P,2020,82.799856,41.159727
AHUATEPEC,1P,2021,82.799089,41.159345
AHUATEPEC,1P,2022,82.803129,41.161354
AHUATEPEC,1P,2023,82.803129,41.161354
AHUATEPEC,1P,2024,0.0,0.0
AHUATEPEC,2P,2010,2554.049469,766.214841
AHUATEPEC,2P,2011,2532.090485,759.627145
AHUATEPEC,2P,2012,1285.777707,385.733312
AHUATEPEC,2P,2013,1287.576268,640.054163
AHUATEPEC,2P,2014,1214.430018,603.693161
AHUATEPEC,2P,2015,1215.230633,604.091147
AHUATEPEC,2P,2016,1003.271766,498.725406
AHUATEPEC,2P,2017,623.764539,310.072738
AHUATEPEC,2P,2018,623.76454,310.07274
AHUATEPEC,2P,2019,623.764539,310.072738
AHUATEPEC,2P,2020,623.764539,310.072738
AHUATEPEC,2P,2021,623.758763,310.069866
AHUATEPEC,2P,2022,623.789202,310.084998
AHUATEPEC,2P,2023,623.789202,310.084998
AHUATEPEC,2P,2024,0.0,0.0
AHUATEPEC,3P,2010,4232.374642,1269.712393
AHUATEPEC,3P,2011,4232.374643,1269.712392
AHUATEPEC,3P,2012,2012.646399,603.793919
AHUATEPEC,3P,2013,2012.599498,1000.463211
AHUATEPEC,3P,2014,2012.599499,1000.46321
