CAMPO_SIH,CATEGORIA,AÑO,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
PANAL,3P,2026,7.458814,21.21419399999996
PANUCO,3P,2025,5204.358532814562,15011.189465294477
PANUCO,3P,2026,5204.37208113172,15096.31477513506
PAREDON,3P,2025,691.8980249968566,1780.1805174704004
PAREDON,3P,2026,691.8980249965198,1780.1805174561237
PARETO,3P,2025,59.115410460710926,84.38040088045217
PARETO,3P,2026,59.11541035935245,61.28937719187532
PASTORIA,3P,2025,-286.059678094844,48.30024653207988
PASTORIA,3P,2026,-127.672512798459,0.1649312872983728
PERDIZ,3P,2025,183.24652299932765,211.90234947390243
PERDIZ,3P,2026,183.24652299932774,210.04693769491368
PIT,3P,2025,2795.9661871767908,344.7321157998834
PIT,3P,2026,2795.966173612419,344.7321157997426
PLACETAS,3P,2024,3.508107998870254,82.73273685221866
PLACETAS,3P,2025,3.508107998628405,162.85323764498048
PLATANAL,3P,2025,117.05446406294577,128.05782626710072
PLATANAL,3P,2026,117.05446425959676,128.05782628138198
POHP,3P,2025,1266.2712279416814,251.98756393359213
POHP,3P,2026,1266.271242309593,251.98756393918336
POKCHE,3P,2025,210.1613554674696,328.44166300291835
POKCHE,3P,2026,223.01458166995317,361.4061047451791
POKOCH,3P,2025,131.76198186620468,210.8571589001355
POKOCH,3P,2026,126.64021351744007,192.97752813216917
POL,3P,2025,2406.0488872299434,2553.000648224084
POL,3P,2026,2406.048887235965,2553.0006482245685
POTRERO DEL LLANO HORCONES,3P,2025,401.1428696995052,212.96633281891366
POTRERO DEL LLANO HORCONES,3P,2026,401.1428687871597,212.9663326331698
POZA RICA,3P,2025,4808.796062969032,4807.8942039773
POZA RICA,3P,2026,4808.79606296914,4807.894203979539
PRESIDENTE ALEMAN,3P,2025,-979.3533546882682,924.320434716082
PRESIDENTE ALEMAN,3P,2026,-328.1063265407179,1051.2076295383636
PRESIDENTE ALEMAN PR,3P,2025,20.684866,33.447362
PRESIDENTE ALEMAN PR,3P,2026,20.684866,33.447362
PUERTO CEIBA,3P,2025,1362.787296851313,827.9910077146078
PUERTO CEIBA,3P,2026,1362.787296851296,827.9894758901429
RABASA,3P,2025,306.7450883591742,199.90339632533806
RABASA,3P,2026,321.47045287537503,200.60074900544626
REMOLINO,3P,2025,-946.0810587537744,1640.827578053272
REMOLINO,3P,2026,-345.0743905649416,1950.9067224411451
REMOLINO PR,3P,2025,0.004270942971207947,-0.03305660758528717
REMOLINO PR,3P,2026,0.004274909433504692,-0.02625220246051369
REYNOSA,3P,2025,7.490119,3219.7908616538557
REYNOSA,3P,2026,7.490119,3221.633151358532
RIBERENO,3P,2025,12.380322000061634,252.78101622838764
RIBERENO,3P,2026,12.380322000061767,252.88782165414466
RIO NUEVO,3P,2025,-20.797744614256118,0.014662908059847268
RIO NUEVO,3P,2026,-2.8460082934588407,3.957710329689779e-06
RODADOR,3P,2025,180.76171799877685,211.09947799867703
RODADOR,3P,2026,180.76171799877685,211.0994779986767
SABANA GRANDE,3P,2025,1816.842876597488,907.9036878984693
